"","temp","rain","ph","depth","texture","total","noraintotal","avetotal","lon","lat"
"1",42.5,59.3333333333333,100,80,50,11.4413333333333,17,66.3666666666667,27.43,-33
"2",33.5,48.3333333333333,100,80,50,9.32266666666667,13.4,62.3666666666667,27.36,-31.67
"3",30,33.4166666666667,83,80,50,5.91513333333333,9.96,55.2833333333333,25.92,-29.379999
"4",69.4166666666667,60.1666666666667,100,80,50,19.076,27.7666666666667,71.9166666666667,31.2,-25.200001
"5",68.5,61.25,100,80,50,19.113,27.4,71.95,31.1,-24.799999
"6",62.8333333333333,33.25,100,80,50,11.4846666666667,25.1333333333333,65.2166666666667,26.01,-24.509999
"7",61.8333333333333,33.5833333333333,94,80,50,10.7373066666667,23.2493333333333,63.8833333333333,25.879999,-24.479999
"8",62.5,27.1666666666667,94,80,50,8.45154,23.5,62.7333333333333,26.149999,-24.379999
"9",63.6666666666667,12.5833333333333,50,80,50,2.2575,12.7333333333333,51.25,23.149999,-24.370002
"10",46,52.75,94,80,50,11.9157533333333,17.296,64.55,29.5,-24.2
"11",47,52,0,80,50,0,0,45.8,29.489999,-24.190005
"12",45.1666666666667,52.9166666666667,100,80,50,12.5063333333333,18.0666666666667,65.6166666666667,29.5,-24.19
"13",81,39.1666666666667,94,80,50,14.3042933333333,30.456,68.8333333333333,31.5,-23.833333
"14",92.5833333333333,47,0,80,50,0,0,53.9166666666667,33.369998,-23.75
"15",39.8333333333333,72.6666666666667,100,80,50,13.5253333333333,15.9333333333333,68.5,29.809999,-23.629999
"16",48.5,37.6666666666667,100,80,50,9.76833333333333,19.4,63.2333333333333,29.159999,-23.600003
"17",76.5833333333333,48.9166666666667,78,80,50,13.71422,23.894,66.7,30.709999,-23.319999
"18",64.5,25.8333333333333,83,80,50,7.20550666666667,21.414,60.6666666666667,26.829999,-23.100002
"19",62.9166666666667,34.25,94,80,50,10.9318866666667,23.6566666666667,64.2333333333333,26.909999,-23.069999
"20",70.8333333333333,18.8333333333333,67,80,50,4.83405,18.9833333333333,57.3333333333333,27.760002,-23.010002
"21",68.1666666666667,22.25,100,80,50,8.27433333333333,27.2666666666667,64.0833333333333,27.579999,-22.930003
"22",81.6666666666667,48.25,100,80,50,18.0556666666667,32.6666666666667,71.9833333333333,30.899999,-22.739999
"23",64.25,27.5,100,80,50,9.57666666666667,25.7,64.35,27.6,-22.6
"24",57.75,33.25,89,80,50,9.30228,20.559,62,26.819999,-22.459999
"25",54.6666666666667,35,67,80,50,7.00708333333333,14.6506666666667,57.3333333333333,26.709999,-22.389999
"26",52.75,35.8333333333333,0,80,50,0,0,43.7166666666667,26.549999,-22.199999
"27",77.5833333333333,24.6666666666667,56,80,50,5.27296,17.3786666666667,57.65,29.879999,-21.729999
"28",66.5,26.3333333333333,61,80,50,5.40826,16.226,56.7666666666667,28.28,-21.399999
"29",73.4166666666667,37.8333333333333,78,80,50,10.68236,22.906,63.85,30.35,-21.219999
"30",63.5,27,89,80,50,7.56529666666667,22.606,61.9,28.42,-21.17
"31",67.3333333333333,39,67,80,50,8.94048,18.0453333333333,60.6666666666667,27.510001,-21.159999
"32",80.5,47.4166666666667,44,80,50,7.82994666666667,14.168,60.3833333333333,32.119998,-21.069999
"33",59.1666666666667,40.4166666666667,100,80,50,12.2753333333333,23.6666666666667,65.9166666666667,29.02,-20.94
"34",72.9166666666667,49.75,83,80,50,14.21956,24.2083333333333,67.1333333333333,30.63333333,-20.93333333
"35",58.5833333333333,40.5,94,80,50,11.4385466666667,22.0273333333333,64.6166666666667,29.100001,-20.920001
"36",61.5833333333333,43.1666666666667,94,80,50,12.4994933333333,23.1553333333333,65.75,28.379999,-20.920001
"37",64.1666666666667,41.5833333333333,89,80,50,11.90909,22.8433333333333,64.95,28.469999,-20.919999
"38",63.5,41.3333333333333,94,80,50,12.4067466666667,23.876,65.7666666666667,28.5,-20.91666667
"39",60.4166666666667,39.3333333333333,0,80,50,0,0,45.95,29,-20.91666667
"40",74.25,51.3333333333333,94,80,50,16.8003066666667,27.918,69.9166666666667,30.75,-20.9
"41",74.75,51.6666666666667,89,80,50,16.0793333333333,26.611,69.0833333333333,30.780001,-20.889999
"42",66.9166666666667,49,89,80,50,14.0928533333333,23.8223333333333,66.9833333333333,30.180003,-20.850003
"43",63.0833333333333,36.8333333333333,67,80,50,7.98483666666667,16.9063333333333,59.3833333333333,27.219999,-20.840001
"44",60.25,44.6666666666667,0,80,50,0,0,46.9833333333333,28.41666667,-20.83333333
"45",69.4166666666667,54.5,100,80,50,17.6393333333333,27.7666666666667,70.7833333333333,30.780001,-20.799999
"46",69.25,54.5,100,80,50,17.6313333333333,27.7,70.75,30.790009,-20.799999
"47",62.3333333333333,33.5,78,80,50,8.08184,19.448,60.7666666666667,29.25,-20.799999
"48",66.5,50.3333333333333,94,80,50,15.14998,25.004,68.1666666666667,30.319999,-20.77
"49",68.5,54.25,89,80,50,15.4729466666667,24.386,68.35,30.75,-20.75
"50",75.6666666666667,55.3333333333333,83,80,50,16.0688,25.1213333333333,68.8,31.7,-20.7
"51",53,48.6666666666667,100,80,50,12.944,21.2,66.3333333333333,28.42,-20.68
"52",58.4166666666667,38.75,0,80,50,0,0,45.4333333333333,27.409999,-20.67
"53",52.6666666666667,55.9166666666667,100,80,50,14.496,21.0666666666667,67.7166666666667,30.02,-20.579999
"54",58.25,45.5,100,80,50,13.2846666666667,23.3,66.75,29.28,-20.540001
"55",58.0833333333333,45.5,100,80,50,13.231,23.2333333333333,66.7166666666667,29.28333333,-20.53333333
