CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000035,IND002,ICP 7040,DSLR 60,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Sihora; Jabalpur,23.489999,80.099998,,,,,19740409,,,300,,21,,,,,,,12;13,,9a6af4ec-e98f-4039-87ef-c21bb96f5649,,,
10001000035,IND002,ICP 7041,DSLR 61,IND002,,,ICRISAT-MISN-001,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19740620,IND,Sihora; Jabalpur,23.489999,80.099998,,,,,19740409,,,300,,21,,,,,,,12;13,,1e75f05c-6d74-43a6-ae9c-6c758f359120,,,
10001000035,IND002,ICP 7457,,,,,ICRISAT-MISN-N/A,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19750320,IND,Badiah,23.503551,78.771972,,,,,,,,300,,21,,,,,,,12;13,,4a801959-b457-4038-98d6-35e009019824,,,
10001000035,IND002,ICP 15873,BS 20,IND002,,,ICRISAT-MISN-177,Cajanus,cajanifolius,(Haines) van der Maesen,,,pigeonpea,,19950706,IND,Kolosai; South Tripura,23.510002,91.650001,,,,60,19891128,,,100,,10,,,,ICPW 272,,,12,,a481aaa8-838f-4329-96d0-2b4776aeccd2,,,
10001000035,IND002,ICP 8995,LJR 105,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Ganoda; Banswara,23.54,74.43,,,,,19780305,,,300,,21,,,,,,,12;13,,4d86ec72-58de-42b3-abe1-a177500aecb3,,,
10001000035,IND002,ICP 13992,RBH 136,IND002,,,ICRISAT-MISN-119,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19870716,BGD,Laovdea; Henadha,23.540001,89.120002,,,,75,19850327,,,300,,21,,,,,,,12;13,,9c7c7374-e45a-4b8c-8fcc-2619d3d244fc,,,
10001000035,IND002,ICP 8996,LJR 106,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Udherjipada; Banswara,23.540001,74.430001,,,,,19780305,,,300,,21,,,,,,,12;13,,45bf6ea9-0bbb-4af8-9d95-8dffe8de57e7,,,
10001000035,IND002,ICP 8997,LJR 107,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Padla; Banswara,23.540001,74.430001,,,,,19780305,,,300,,21,,,,,,,12;13,,1e0ae6b0-04ab-4a85-899a-a0c68e253ca3,,,
10001000035,IND002,ICP 15629,JM 2739,IND002,,,ICRISAT-MISN-029,Cajanus,cajanifolius,(Haines) van der Maesen,,,pigeonpea,,19950706,IND,Bailadilla Hill; Malingar valley; Ibm Camp,23.543845,78.684082,,,,,19770327,,,100,,10,,,,ICPW 028,,,12;13,,cb8d8f76-6deb-47b3-bf93-a144e6d24acf,,,
10001000035,IND002,ICP 8965,LJR 78A,IND002,,,ICRISAT-MISN-034,Cajanus,cajan,(L.) Millsp.,,,pigeonpea,,19780620,IND,Gangasagar; Mehsana,23.59,72.389999,,,,,19780301,,,300,,21,,,,,,,12;13,,30919bd3-7dcb-4c0f-978b-a15766c18768,,,
