CFFcropid,INSTCODE,ACCENUMB,COLLNUMB,COLLCODE,COLLNAME,COLLINSTADDRESS,COLLMISSID,GENUS,SPECIES,SPAUTHOR,SUBTAXA,SUBTAUTHOR,CROPNAME,ACCENAME,ACQDATE,ORIGCTY,COLLSITE,lat,lon,COORDUNCERT,COORDDATUM,GEOREFMETH,ELEVATION,COLLDATE,BREDCODE,BREDNAME,SAMPSTAT,ANCEST,COLLSRC,DONORCODE,DONORNAME,DONORNUMB,OTHERNUMB,DUPLSITE,DUPLINSTNAME,STORAGE,MLSSTAT,UUID,HISTORIC,ACCEURL,REMARKS
10001000051,NGA039,TDa-3270,SO/89/035,,,,,Dioscorea,alata,,,,yam,,,GHA,,6.9833002,0.30000001,,,,0,19890101,,,300,,,,,,,,,13;30,,5f008af8-ec21-41f3-b47b-2dfc2b7ef78c,,http://my.iita.org/accession2/accession/TDa-3270,
10001000051,NGA039,TDa-3934,RB-89-613,,,,,Dioscorea,alata,,,,yam,,,BEN,OWEWE,7.02,2.39,,,,112,,,,300,,,,,,,,,13;30,,7cdacdb0-531a-4cb0-b39a-d3ba039de4cf,,http://my.iita.org/accession2/accession/TDa-3934,
10001000051,NGA039,TDa-1314,IF/89/056,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.0833001,-2.0667,,,,299,19890101,,,300,,,,,,,,,13;30,,b464e9f3-9629-4fb9-835a-ece1a23b6b82,,http://my.iita.org/accession2/accession/TDa-1314,
10001000051,NGA039,TDa-1471,IF/89/050,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.0833001,-2.0667,,,,299,19890101,,,300,,,,,,,,,13;30,,11657e21-9495-44e6-9413-468b2e7c4382,,http://my.iita.org/accession2/accession/TDa-1471,
10001000051,NGA039,TDa-2834,IF/89/053,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.0833001,-2.0667,,,,299,19890101,,,300,,,,,,,,,13;30,,9bd8de78-5c02-4894-8e57-43c1ac6a1740,,http://my.iita.org/accession2/accession/TDa-2834,
10001000051,NGA039,TDa-3275,IF/89/054,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.0833001,-2.0667,,,,299,19890101,,,300,,,,,,,,,13;30,,b3bf7c6c-bfaa-49b3-9259-1f44add69abe,,http://my.iita.org/accession2/accession/TDa-3275,
10001000051,NGA039,TDa-3278,IF/89/056,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.0833001,-2.0667,,,,299,19890101,,,300,,,,,,,,,13;30,,25d1c86e-1f1e-4c79-b429-8f574f67385d,,http://my.iita.org/accession2/accession/TDa-3278,
10001000051,NGA039,TDa-4129,B015Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Geima,7.22,-11.35,,,,252,,,,300,,,,,,,,,13;30,,6ee79100-8801-422c-a6e1-f6028296ebdb,,http://my.iita.org/accession2/accession/TDa-4129,
10001000051,NGA039,TDa-4130,B016Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Geima,7.22,-11.35,,,,252,,,,300,,,,,,,,,13;30,,b76142e2-bf9f-4384-a11f-87bb8087be26,,http://my.iita.org/accession2/accession/TDa-4130,
10001000051,NGA039,TDa-4139,B014Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Geima,7.22,-11.35,,,,252,,,,300,,,,,,,,,13;30,,51c41c45-95d0-49f4-b466-dc9a4c4e1c3a,,http://my.iita.org/accession2/accession/TDa-4139,
10001000051,NGA039,TDa-1403,KE-10,,,,,Dioscorea,alata,,,,yam,,,NGA,,7.23,5.3,,,,330,,,,300,,,,,,,,,13;30,,c8e6d3b0-3d82-476c-8342-3c965703950a,,http://my.iita.org/accession2/accession/TDa-1403,
10001000051,NGA039,TDa-4058,96-8,,,,,Dioscorea,alata,,,,yam,,,NGA,"TRIP, ODEDA, OGUN STATE",7.2333,3.5333,,,,152,19960101,,,300,,,,,,,,,13;30,,70394851-d458-409b-85b7-e5db62fb632c,,http://my.iita.org/accession2/accession/TDa-4058,
10001000051,NGA039,TDa-1310,IF/89/038,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,999,,,,,,,,,13;30,,f8e236de-df3e-4fe5-9244-12c7ed17feb4,,http://my.iita.org/accession2/accession/TDa-1310,
10001000051,NGA039,TDa-1361,IF/89/040,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,82667cb5-f97b-438c-bf0d-8eaed0fa5b27,,http://my.iita.org/accession2/accession/TDa-1361,
10001000051,NGA039,TDa-1367,IF/89/038,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,2786ff24-a258-4bc1-a028-071e167affae,,http://my.iita.org/accession2/accession/TDa-1367,
10001000051,NGA039,TDa-1421,IF/89/042,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,abd86f3d-55cd-4534-80b4-cdabadc41332,,http://my.iita.org/accession2/accession/TDa-1421,
10001000051,NGA039,TDa-1443,IF/89/040,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,639b9539-0004-4b0b-ac9a-1ef9c1a4fc17,,http://my.iita.org/accession2/accession/TDa-1443,
10001000051,NGA039,TDa-3273,IF/89/038,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,f84c943c-0c4c-43b4-8790-0c8e74d0424e,,http://my.iita.org/accession2/accession/TDa-3273,
10001000051,NGA039,TDa-3274,IF/89/041,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,f9af9a1a-7c3b-4c91-844e-b6c8347473a6,,http://my.iita.org/accession2/accession/TDa-3274,
10001000051,NGA039,TDa-3276,IF/89/042,,,,,Dioscorea,alata,,,,yam,,,GHA,,7.3167,-2.6833,,,,-3,19890101,,,300,,,,,,,,,13;30,,0bc17244-16f0-4782-a2bc-5d2ea2c48f65,,http://my.iita.org/accession2/accession/TDa-3276,
10001000051,NGA039,TDa-4052,95-23,,,,,Dioscorea,alata,,,,yam,,,GHA,"PRANG. B, TRIP",7.35806,-11.72083,,,,252,19950101,,,300,,,,,,,,,13;30,,5f37d173-9dd9-4673-9cd8-29661767b1c1,,http://my.iita.org/accession2/accession/TDa-4052,
10001000051,NGA039,TDa-4133,P003Y,,,,,Dioscorea,alata,,,,yam,,,SLE,Pujehun,7.35806,-11.72083,,,,26,,,,300,,,,,,,,,13;30,,6234a33c-ce97-4293-895a-bed0ffe99c58,,http://my.iita.org/accession2/accession/TDa-4133,
10001000051,NGA039,TDa-4049,IN94A-84,,,,,Dioscorea,alata,,,,yam,,,BEN,"AJIBODE, AKINYELE LGA, OYO STATE",7.4708848,3.9018433,,,,252,,,,300,,,,,,,,,13;30,,b1ef2196-450b-455a-8136-96fe5ff6b937,,http://my.iita.org/accession2/accession/TDa-4049,
10001000051,NGA039,TDa-4055,95-290,,,,,Dioscorea,alata,,,,yam,,,BEN,"SOKKA, TRIP",7.5014243,3.9099205,,,,252,19950101,,,300,,,,,,,,,13;30,,a6e23647-8284-48e8-92cd-54c39735f1a7,,http://my.iita.org/accession2/accession/TDa-4055,
