"","temp","rain","ph","depth","texture","total","noraintotal","avetotal"
"bfrannks",100,40,100,100,80,10,60,100
"fmrannks",100,96.3820549927641,72.6483357452967,2.46020260492041,100,0.434153400868307,1.73661360347323,100
"pmrannks",99.7743088207636,86.8346812112093,84.1451946586421,100,100,1.63626104946398,50.5172089524168,100
"pigrannks",99.9348534201954,82.9315960912052,95.8306188925081,100,100,70.814332247557,87.9478827361563,100
"yamrannks",100,97.8723404255319,94.6808510638298,100,100,36.1702127659575,92.5531914893617,100
