"","temp","rain","ph","depth","texture","total","noraintotal","avetotal","lon","lat"
"1",100,50.5,100,10,100,5.05,10,72.1,31.659999,-21.059999
"2",100,55.5,100,10,100,5.55,10,73.1,30.629999,-20.930003
"3",100,32.25,100,10,100,3.225,10,68.45,29,-20.930003
"4",91.6666666666667,35.25,100,10,100,3.525,9.16666666666667,67.3833333333333,29.100001,-20.920001
"5",100,38.8333333333333,100,10,100,3.88333333333333,10,69.7666666666667,28.459999,-20.909999
"6",100,57.5,100,10,100,5.75,10,73.5,30.780001,-20.889999
"7",100,53.0833333333333,100,10,100,5.30833333333333,10,72.6166666666667,30.180003,-20.850003
"8",99.9166666666667,47.8333333333333,100,10,100,4.78333333333333,9.99166666666667,71.55,29.28,-20.530001
"9",99.4166666666667,47.5,100,10,100,4.75,9.94166666666667,71.3833333333333,29.909999,-20.479999
"10",100,55.0833333333333,100,10,100,5.50833333333333,10,73.0166666666667,30.409999,-20.450002
"11",92.5833333333333,50.4166666666667,100,10,100,4.96541666666667,9.25833333333333,70.6,28.610006,-20.450002
"12",98.8333333333333,60.1666666666667,20,10,100,1.18548333333333,1.97666666666667,57.8,32.709999,-20.450002
"13",100,54.75,100,10,100,5.475,10,72.95,30.430003,-20.440005
"14",100,59.3333333333333,100,10,100,5.93333333333333,10,73.8666666666667,31.870003,-20.430003
"15",100,57.6666666666667,100,10,100,5.76666666666667,10,73.5333333333333,30.700003,-20.430003
"16",94.8333333333333,52.3333333333333,0,10,100,0,0,51.4333333333333,32.689998,-20.430003
"17",100,71.5833333333333,100,10,100,7.15833333333333,10,76.3166666666667,31.450001,-20.350697
"18",100,50.1666666666667,100,10,100,5.01666666666667,10,72.0333333333333,30.030001,-20.329999
"19",100,50.9166666666667,100,10,100,5.09166666666667,10,72.1833333333333,30.047291,-20.329999
"20",100,51.5,100,10,100,5.15,10,72.3,30.299999,-20.319999
"21",99.75,46.1666666666667,100,10,100,4.61666666666667,9.975,71.1833333333333,28.93,-20.299999
"22",100,74,0,10,100,0,0,56.8,32.830001,-20.28
"23",98.9166666666667,87.4166666666667,0,10,100,0,0,59.2666666666667,32.61,-20.209999
"24",91,76.5,0,10,100,0,0,55.5,32.599998,-20.200001
"25",99.75,68.6666666666667,100,10,100,6.86283333333333,9.975,75.6833333333333,31.010002,-20.180003
"26",96.0833333333333,58.1666666666667,100,10,100,5.76925,9.60833333333333,72.85,28.75,-20.170001
"27",100,75.4166666666667,100,10,100,7.54166666666667,10,77.0833333333333,31.61,-20.079999
"28",99.5833333333333,57.3333333333333,100,10,100,5.73333333333333,9.95833333333333,73.3833333333333,30.819999,-20.059999
"29",91.6666666666667,71.5,40,80,100,22.88,29.3333333333333,76.6333333333333,32.479999,-20.059999
"30",93.1666666666667,49.0833333333333,60,80,100,20.546,44.72,76.45,32.869998,-20.03
"31",100,55.1666666666667,100,10,100,5.51666666666667,10,73.0333333333333,30.489999,-20.03
"32",100,24.5,100,10,100,2.45,10,66.9,32.310001,-19.930001
"33",99.75,57.1666666666667,100,10,100,5.71666666666667,9.975,73.3833333333333,30.549999,-19.829999
"34",100,57.1666666666667,100,10,100,5.71666666666667,10,73.4333333333333,30.219999,-19.829999
"35",100,50.5833333333333,100,10,100,5.05833333333333,10,72.1166666666667,27.75,-19.760002
"36",99.1666666666667,58.6666666666667,100,10,100,5.86341666666667,9.91666666666667,73.5666666666667,30.579999,-19.75
"37",91.3333333333333,82.1666666666667,20,10,50,0.766541666666667,0.913333333333333,50.7,32.919998,-19.67
"38",83,70.8333333333333,80,10,50,2.35873333333333,3.32,58.7666666666667,30,-19.659999
"39",93.9166666666667,63.3333333333333,60,10,50,1.85785,2.8175,55.45,31.159999,-19.659999
"40",100,43.6666666666667,100,10,50,2.18333333333333,5,60.7333333333333,32.459999,-19.649999
"41",91.5833333333333,55.3333333333333,100,10,50,2.76666666666667,4.57916666666667,61.3833333333333,31.5,-19.629999
"42",100,50.6666666666667,100,10,50,2.53333333333333,5,62.1333333333333,32.5,-19.579999
"43",93.1666666666667,61.6666666666667,0,10,50,0,0,42.9666666666667,30.510002,-19.559999
"44",99.5833333333333,62.5833333333333,100,10,50,3.12916666666667,4.97916666666667,64.4333333333333,32.650001,-19.559999
"45",96.5833333333333,72.3333333333333,40,10,50,1.42786666666667,1.93166666666667,53.7833333333333,32.779998,-19.549999
"46",100,56.4166666666667,100,10,50,2.82083333333333,5,63.2833333333333,32.549999,-19.52
"47",100,52.6666666666667,100,10,50,2.63333333333333,5,62.5333333333333,31.629999,-19.52
"48",100,51.4166666666667,100,10,50,2.57083333333333,5,62.2833333333333,31.799999,-19.5
"49",100,53.5,100,10,50,2.675,5,62.7,31.75,-19.469999
"50",93,59.3333333333333,0,10,50,0,0,42.4666666666667,30.579999,-19.459999
"51",100,49.0833333333333,100,10,50,2.45416666666667,5,61.8166666666667,27.25,-19.450002
"52",99.5833333333333,60.6666666666667,60,10,50,1.82,2.9875,56.05,31.43,-19.329999
"53",95.6666666666667,71.1666666666667,80,10,50,2.7936,3.82666666666667,61.3666666666667,32.7,-19.309999
"54",100,61.4166666666667,100,10,50,3.07083333333333,5,64.2833333333333,32.580001,-19.299999
"55",99.5833333333333,57,100,10,50,2.84875,4.97916666666667,63.3166666666667,29.43,-19.27
"56",99.5833333333333,57,0,10,50,0,0,43.3166666666667,29.44,-19.27
"57",97.4166666666667,64.8333333333333,100,10,50,3.22475,4.87083333333333,64.45,31.379999,-19.25
"58",100,59.75,100,10,50,2.9875,5,63.95,31.75,-19.059999
"59",96.6666666666667,66.1666666666667,40,10,50,1.3121,1.93333333333333,52.5666666666667,31.469999,-19.030455
"60",96.6666666666667,66.1666666666667,40,10,50,1.3121,1.93333333333333,52.5666666666667,31.469999,-19.030001
"61",96.6666666666667,66.1666666666667,40,10,50,1.3121,1.93333333333333,52.5666666666667,31.469999,-19.03
"62",100,59.5,100,10,50,2.975,5,63.9,28.899999,-19.010002
"63",100,68.75,60,10,50,2.0625,3,57.75,32.650001,-18.969999
"64",100,54.3333333333333,100,10,50,2.71666666666667,5,62.8666666666667,27.729999,-18.930003
"65",100,59.6666666666667,100,10,50,2.98333333333333,5,63.9333333333333,29.816667,-18.916667
"66",89.3333333333333,68.1666666666667,40,10,50,1.27833333333333,1.78666666666667,51.5,31.28,-18.899999
"67",90.0833333333333,67.9166666666667,20,10,50,0.641483333333333,0.900833333333333,47.6,31.276866,-18.866455
"68",93.5833333333333,64.4166666666667,40,10,50,1.25586666666667,1.87166666666667,51.6,32.150001,-18.700001
"69",85.25,75.3333333333333,60,10,50,2.0115,2.5575,56.1166666666667,32.63,-18.68
"70",95.75,69.6666666666667,60,10,50,2.0529,2.8725,57.0833333333333,31.549999,-18.610001
"71",91.8333333333333,67.4166666666667,40,10,50,1.29473333333333,1.83666666666667,51.85,32.080001,-18.6
"72",100,60.9166666666667,80,10,50,2.43666666666667,4,60.1833333333333,29.549999,-18.549999
"73",100,52,20,10,50,0.52,1,46.4,32.77,-18.549999
"74",95.8333333333333,66.4166666666667,80,10,50,2.61883333333333,3.83333333333333,60.45,31.28,-18.530001
"75",68.5,48.5,20,10,50,0.28895,0.685,39.4,32.729999,-18.52
"76",90.5833333333333,39.5,0,80,50,0,0,52.0166666666667,32.830001,-18.379999
"77",100,46.6666666666667,0,10,50,0,0,41.3333333333333,26.489999,-18.370001
"78",100,55.1666666666667,100,10,50,2.75833333333333,5,63.0333333333333,26.5,-18.37
"79",66.75,82.0833333333333,0,10,50,0,0,41.7666666666667,32.580001,-18.360001
"80",94.5833333333333,65.75,80,10,50,2.5715,3.78333333333333,60.0666666666667,31.159999,-18.25
"81",92.1666666666667,68.5,0,10,50,0,0,44.1333333333333,31.280455,-18.219999
"82",100,66.1666666666667,100,10,50,3.30833333333333,5,65.2333333333333,28.94,-18.219999
"83",69.9166666666667,47.9166666666667,20,10,50,0.305658333333333,0.699166666666667,39.5666666666667,32.75,-18.209999
"84",95,66.4166666666667,80,10,50,2.59956666666667,3.8,60.2833333333333,31.17,-18.17
"85",100,63,0,10,50,0,0,44.6,28.520001,-18.120001
"86",92.6666666666667,71.1666666666667,0,10,50,0,0,44.7666666666667,32.669998,-18.079999
"87",95.4166666666667,67.8333333333333,100,10,50,3.33258333333333,4.77083333333333,64.65,32.650001,-18.02
"88",97.5,66.8333333333333,60,10,50,1.99075,2.925,56.8666666666667,31.02,-17.92
"89",100,79,80,10,50,3.16,4,63.8,32.919998,-17.87
"90",97.3333333333333,69,100,10,50,3.41433333333333,4.86666666666667,65.2666666666667,31.049999,-17.829999
"91",91.4166666666667,72.1666666666667,60,10,50,1.9129,2.7425,56.7166666666667,31.53,-17.760002
"92",97.8333333333333,71.9166666666667,40,10,50,1.4239,1.95666666666667,53.95,31.579999,-17.75
"93",99.6666666666667,67.8333333333333,20,10,50,0.6775,0.996666666666667,49.5,30.25,-17.649999
"94",96.75,70.75,0,10,50,0,0,45.5,31.780455,-17.649999
"95",99.8333333333333,67.8333333333333,0,10,50,0,0,45.5333333333333,30.18,-17.62
"96",100,67.25,0,10,50,0,0,45.45,29.61,-17.559999
"97",94.75,72.25,0,10,50,0,0,45.4,31.45,-17.530001
"98",87.8333333333333,71.4166666666667,60,80,50,15.7474,21.08,69.85,31.219999,-17.520001
"99",91.6666666666667,71.8333333333333,0,10,50,0,0,44.7,31.229999,-17.430003
"100",100,67.8333333333333,60,10,50,2.035,3,57.5666666666667,30.18,-17.36
"101",100,60.9166666666667,80,10,50,2.43666666666667,4,60.1833333333333,32.459999,-17.280001
"102",100,66,0,10,50,0,0,45.2,29.479999,-17.17
"103",100,73,100,10,50,3.65,5,66.6,35.229999,-17.010002
"104",96.4166666666667,68.4166666666667,80,10,50,2.69896666666667,3.85666666666667,60.9666666666667,31.079999,-16.950001
"105",100,74.5,100,10,50,3.725,5,66.9,35.259998,-16.92
"106",99.75,67,40,10,50,1.33986666666667,1.995,53.35,31.530001,-16.92
"107",97.9166666666667,67.5,0,10,50,0,0,45.0833333333333,27.069999,-16.829999
"108",100,68.5833333333333,40,10,50,1.37166666666667,2,53.7166666666667,29.68,-16.819999
"109",100,80.4166666666667,100,10,50,4.02083333333333,5,68.0833333333333,35.2,-16.799999
"110",99.4166666666667,66.8333333333333,80,10,50,2.67273333333333,3.97666666666667,61.25,30.379999,-16.729999
"111",99.8333333333333,68.75,0,10,50,0,0,45.7166666666667,31.17,-16.719999
"112",100,66.5833333333333,0,10,50,0,0,45.3166666666667,30.649999,-16.700001
"113",99.75,69.0833333333333,80,10,50,2.7614,3.99,61.7666666666667,31.149999,-16.629999
"114",100,61,100,10,50,3.05,5,64.2,32.279998,-16.620001
"115",100,61.4166666666667,100,10,50,3.07083333333333,5,64.2833333333333,32.430001,-16.620001
"116",100,62.3333333333333,100,10,50,3.11666666666667,5,64.4666666666667,31.870001,-16.620001
"117",100,65.4166666666667,100,10,50,3.27083333333333,5,65.0833333333333,31.680001,-16.620001
"118",100,61.6666666666667,0,10,50,0,0,44.3333333333333,32.180001,-16.579999
"119",100,74.5,0,10,50,0,0,46.9,34.950001,-16.559999
"120",99.6666666666667,67.3333333333333,100,10,50,3.36583333333333,4.98333333333333,65.4,31.579999,-16.559999
"121",100,75.5,100,10,50,3.775,5,67.1,35.009998,-16.549999
"122",100,75.5,100,10,50,3.775,5,67.1,35.130001,-16.549999
"123",100,75.8333333333333,100,10,50,3.79166666666667,5,67.1666666666667,35.119998,-16.549999
"124",98.5,70.1666666666667,100,10,50,3.48266666666667,4.925,65.7333333333333,31.309999,-16.540001
"125",100,64.0833333333333,80,10,50,2.56333333333333,4,60.8166666666667,31.77,-16.53
"126",100,64.4166666666667,0,10,50,0,0,44.8833333333333,34.950001,-16.510002
"127",100,68.8333333333333,100,10,50,3.44166666666667,5,65.7666666666667,31.079999,-16.5
"128",100,71.25,100,10,50,3.5625,5,66.25,34.759998,-16.469999
"129",100,71.5833333333333,100,10,50,3.57916666666667,5,66.3166666666667,34.979999,-16.459999
"130",100,70.5,0,10,50,0,0,46.1,34.880001,-16.450001
"131",100,72.3333333333333,100,10,50,3.61666666666667,5,66.4666666666667,35.180001,-16.430001
"132",100,68.1666666666667,100,10,50,3.40833333333333,5,65.6333333333333,31.180001,-16.430001
"133",100,66,100,10,50,3.3,5,65.2,29.45,-16.389999
"134",100,66,100,10,50,3.3,5,65.2,29.44,-16.389999
"135",100,68.6666666666667,100,10,50,3.43333333333333,5,65.7333333333333,31.020001,-16.370001
"136",100,67.9166666666667,100,10,50,3.39583333333333,5,65.5833333333333,31,-16.329999
"137",100,69.25,100,10,50,3.4625,5,65.85,34.900001,-16.280001
"138",100,64.75,100,10,50,3.2375,5,64.95,30.579999,-16.280001
"139",100,63.5833333333333,83,10,50,2.63870833333333,4.15,61.3166666666667,31.5,-16.270001
"140",100,64,0,10,50,0,0,44.8,31.17,-16.17
"141",100,67.9166666666667,100,10,50,3.39583333333333,5,65.5833333333333,34.779998,-16.149999
"142",100,54.5,40,10,50,1.09,2,50.9,35.150001,-16.1
"143",100,68.75,100,10,50,3.4375,5,65.75,34.849998,-16.1
"144",100,67.9166666666667,60,10,50,2.0375,3,57.5833333333333,34.630001,-16.079999
